,sample_id,catalog_content,image_link,price
3170,239945,"Item Name: Quay Naturals Organic Tigernuts 16 oz - for Snacking, Baking, Smoothies, Yogurt & Salad - Chufa Nuts - High Fiber, Gluten Free & Keto Friendly -Non GMO
Bullet Point 1: High in nutrients: Organic Tigernuts are rich in several vitamins and minerals, including vitamin E, magnesium, and potassium. They also contain antioxidants and fiber.
Bullet Point 2: Low in calories: Tigernuts are very low in calories, with only 47 calories per 100 grams. They are a great snack for those watching their calorie intake.
Bullet Point 3: Gluten-free: Quay's tigernuts are a great option for those with gluten intolerance or celiac disease, as they are naturally gluten-free.
Bullet Point 4: Versatile: Our organic tigernuts can be used in a variety of ways, including as a snack, in baking, or as a topping for salads or yogurt. They can also be used to make tigernut milk or flour.
Bullet Point 5: Easy to add to your diet: Tigernuts are easy to add to your diet, as they are available in many stores and online. They can be eaten raw or roasted and can be used in a variety of recipes.
Bullet Point 6: Non-GMO assurance: We're committed to providing you with a product that aligns with your values. Our sliced tiger nuts are proudly labeled as Non-GMO, giving you peace of mind knowing that our ingredients are free from genetically modified organisms.
Product Description: Elevate your culinary creations with Quay whole tigernut, a versatile and nutrient-packed addition to your kitchen. Derived from the tubers of the nutsedge plant, our organic tiger nuts bring the goodness of nature to your table. From its gluten-free benefits to its rich mineral content, discover the simple yet powerful attributes of tiger nuts. Features: ●Pure natural origin: Crafted from the tubers of the nutsedge plant, Quay’s chufa nuts are a product of nature's abundance. Enjoy the essence of wholesome goodness in every serving. ●Gluten-free alternative: Say goodbye to gluten while savoring the gentle sweetness of chufa snacks. It effortlessly substitutes wheat in your recipes, making it a versatile and nutritious choice. ●Essential minerals: Unlock the wealth of natural minerals that tigernuts bring. With calcium, magnesium, potassium, sodium, phosphorus, and zinc, our sliced tiger nuts introduce valuable nutrients to your diet. ●Plant-powered nutrition: Dive into the world of essential amino acids and vegetable proteins. Quay’s organic tiger nuts contribute to a balanced and nutritious diet, enhancing your culinary creations with plant-powered goodness. ●Nature's superfood: Quay’s tiger nuts embodies the essence of a superfood. Enrich your meals with its innate nutrition and enjoy the wholesome benefits it brings to your plate.
Value: 16.0
Unit: Ounce
",https://m.media-amazon.com/images/I/71g4tdO4KkL.jpg,17.99
64061,60752,"Item Name: NY SPICE SHOP Chipotle Meco Chili – Dried Chipotle Chile Meco –Whole Meco Chipotle Peppers - Chipotle Meco – Meco Chile – Jalapenos Chiptole Chili– Meco Chiptole - Capsicum Annuum – 1 Pound
Bullet Point 1: 🌶️SPICE UP YOUR STEWS AND SOUPS - Add a whole Meco Chipotle pepper to your favorite stews, chili, or soups during the cooking process.Chipotle peppers adobo sauce will infuse a smoky and mildly spicy flavor into the dish.
Bullet Point 2: 🌶️MAKE A MARINADE - Crush or grind the chipotle chiles dried and mix it with other ingredients like garlic, olive oil, lime juice, and spices to create a flavorful marinade for meats, poultry, or vegetables.
Bullet Point 3: 🌶️SEASON ROASTED VEGETABLES - Sprinkle ground chile chipotle over roasted vegetables such as potatoes, carrots, or Brussels sprouts before baking or roasting. It will add depth and smokiness to the vegetables.
Bullet Point 4: 🌶️SEASON GRILLED MEATS - Sprinkle ground dried chipotle peppers over steaks, chicken, or seafood before grilling. The smoky flavor of chipotle chilis in adobo will complement the charred taste of grilled meats.
Bullet Point 5: 🌶️ADD TO RICE AND GRAIN DISHES - Include chopped or ground chipotle peppers in rice or grain dishes like pilaf, risotto, or quinoa for an added smoky element.
Product Description: CHIPOTLE PEPPERS, OFTEN SIMPLY CALLED CHIPOTLES, ARE DRIED, SMOKED, RIPE JALAPEÑO PEPPERS (PART OF THE HIGHLY VARIABLE SPECIES CAPSICUM ANNUUM). MODERATELY SPICY, BUT THEY ARE MUCH MORE IMPORTANT FOR THEIR ABILITY TO CONTRIBUTE A DISTINCTIVE SMOKY, COMPLEX TASTE TO FOODS. SMOKED JALAPENO BUT TYPICALLY SMOKED TWICE AS LONG AS MORITAS. THIS RESULTS IN A RICHER FLAVOR LIGHT BROWN. MECO CHILES ARE PICKED WHEN THEY ARE STILL GREEN AND SMOKED TWICE AS LONG AS MORITA CHILES, GIVING THEM A WONDERFUL SMOKY FRUITY FLAVOR. THIS ""SMOKE DRYING"" PROCESS WAS INITIALLY USED FOR DRYING MEATS BUT THEY FOUND THAT SMOKING ALLOWED THE CHILES TO BE STORED FOR A LONGER PERIOD OF TIME. HOW DO YOU USE THE CHIPOTLE MECO? Chipotle Meco Chiles will add a deep, earthy spiciness to many dishes in Mexican cuisine. They can be rehydrated and diced, rehydrated and pureed, ground into a powder, or chopped into flakes to be added to both savory and sweet dishes. Used in traditional dishes such as bean soup, moles, pimento cheese, tomatillo salsa, fish tacos and grilled flank steak. In Mexico, rehydrated Chipotle Meco Chiles are traditionally stuffed with mild cheese and fried in a famous Puebla region Christmas dish called chile navideño. Once reconstituted, the Meco Chile's stem and seed are removed, and the flesh is blended into chile pastes, glazes, marinades, and sauces. These rehydrated peppers can also be incorporated into casseroles, bean dishes, dips, and salsas, or they can be diced and stirred into chiles, soups, and stews. RECOMMENDED USES - Use in traditional dishes such as bean soup, moles, pimento cheese, tomatillo salsa, fish tacos and grilled flank steak FLAVOR PROFILE - Smoky with a slightly spicy, grassy fruitiness CHIPOTLE MECO CHILES (PRONOUNCED “CHUH-POWT-LAY MEE-CO”), CAPSICUM ANNUUM, ARE ALSO CALLED CHIPOTLE MECO, MECO CHIPOTLE, OR CHILE MECO.
Value: 16.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81OQ3BDLkaL.jpg,7.99
37172,98151,"Item Name: Maekrua Oyster Sauce, 600ml
Bullet Point 1: Maekrua Oyster Sauce, 600ml
Bullet Point 2: It adds a savoury flavour to many dishes
Bullet Point 3: It is commomly used in chinese
Bullet Point 4: Packaging may vary.
Bullet Point 5: Pack of 1
Product Description: Maekrua Oyster Sauce, 600ml, Pack of 1. Cheap Maekrua Oyster Sauce - 24oz
Value: 20.29
Unit: Fl Oz
",https://m.media-amazon.com/images/I/61z5INlq91L.jpg,5.44
39480,14190,"Item Name: Community Coffee Mardi Gras King Cake Flavored Medium Roast Ground Coffee, 32 Ounce Bag (Pack Of 4)
Bullet Point 1: The Taste of Mardi Gras: The king of all flavored coffees; Enjoy the taste of Mardi Gras all year with this festive blend of cinnamon spice and sweet vanilla flavor; Try with cream and sugar
Bullet Point 2: Ground Beans: We take high quality 100% Arabica beans, roast and grind them to perfection; Our ground coffee is constantly watched, brewed and tasted by our experts for rich, flavorful coffee
Bullet Point 3: Community Is Everything: From using responsibly sourced coffee beans to programs that support military service members, local schools and more, Community Coffee gives back to our partners and local communities in every way we can
Bullet Point 4: How You Like It: Ground to perfection to brew as drip coffee, pour over or use in your French press; Plenty of options for every taste including hot, iced or cold brew coffee
Bullet Point 5: Quality Assured: All of our coffee beans go through a rigorous scoring system for body, balance, flavor and aroma; Only then can they be considered fit to bear the Community Coffee name
Value: 128.0
Unit: Ounce
",https://m.media-amazon.com/images/I/91UxwJ6wMHL.jpg,29.99
57662,139050,"Item Name: Popcorn Seasoning | Variety 3 Pack | Sea Salt & Vinegar Poporn Seasoning | Nacho Cheese Popcorn Seasoning | Dill Pickle Popcorn Seasoning | 3.5 fl. oz. Flavor Lock Jars | Calorie Free | Fat Free | Saturated Fat Free | Cholesterol Free | Crafted in Small Batches | Premium | Indulgent Popcorn Seasoning 3-Pack – Three Scrumptious Flavors for Every Kernel!
Bullet Point 1: Introducing our Popcorn Seasoning Variety 3 Pack, featuring three exciting flavors to elevate your popcorn experience. This pack includes Sea Salt & Vinegar, Nacho Cheese, and Dill Pickle Popcorn Seasonings, perfect for adding delicious twists to your favorite snack.
Bullet Point 2: 🥒 Dill Pickle Popcorn Seasoning: Experience the tangy and refreshing taste of dill pickles with our Dill Pickle Popcorn Seasoning. This unique flavor adds a crunchy and zesty twist to your popcorn that's sure to excite your taste buds. The perfect balance of dill and vinegar creates a flavorful snack that's both fun and delicious.
Bullet Point 3: 🌊 Sea Salt & Vinegar Popcorn Seasoning: Enjoy the classic tangy and savory combination with our Sea Salt & Vinegar Popcorn Seasoning. Perfect for fans of the timeless chip flavor, this seasoning brings a zesty kick to your popcorn. The bright acidity of vinegar paired with the subtle saltiness creates a delightful and mouthwatering treat that will keep you reaching for more.
Bullet Point 4: 🧀 Nacho Cheese Popcorn Seasoning: Indulge in the rich, creamy taste of nacho cheese with our Nacho Cheese Popcorn Seasoning. This seasoning transforms your popcorn into a cheesy delight that's both irresistible and satisfying. Whether you're hosting a movie night, game day, or simply craving a savory snack, the bold and robust flavor of nacho cheese will make your popcorn the star of the show.
Bullet Point 5: 🎉 Perfect for Any Occasion: Whether you're hosting a movie night, throwing a party, or simply looking for a delicious snack, our Popcorn Seasoning Variety 3 Pack offers something for everyone. These versatile seasonings are easy to use—just sprinkle them over freshly popped popcorn and toss to coat evenly. In seconds, you'll have gourmet-flavored popcorn that's ready to enjoy.
Bullet Point 6: 🍿 Versatile and Fun: Beyond popcorn, these seasonings can also be used to add a burst of flavor to other snacks and dishes. Sprinkle them on roasted nuts, chips, fries, or even vegetables for a unique and tasty twist. They make great additions to your culinary creations, adding an extra layer of flavor to your favorite foods.
Bullet Point 7: 🌟 Quality Ingredients: Made with high-quality, all-natural ingredients, our popcorn seasonings are free from artificial additives and preservatives. Each seasoning blend is crafted to provide a rich and authentic taste, ensuring that every bite is as delicious as the last.
Bullet Point 8: Elevate your snacking experience with our Popcorn Seasoning Variety 3 Pack. With its delicious and diverse flavors, this pack is the perfect way to add excitement and gourmet flair to your popcorn and other snacks. 🌊🧀🥒🍿🎉
Bullet Point 9: TASTE the PREMIUM difference! A double FRESHNESS seal is applied to FRESH ingredients immediately after blending for maximum flavor and zest.
Bullet Point 10: Buy today and ENJOY! No MSG. Sturdy 3.5 fl. oz. BPA free shaker bottles with sifters and a flavor lock cap.
Product Description: Introducing our Popcorn Seasoning Variety 3 Pack, featuring three exciting flavors to elevate your popcorn experience. This pack includes Sea Salt & Vinegar, Nacho Cheese, and Dill Pickle Popcorn Seasonings, perfect for adding delicious twists to your favorite snack.
Value: 10.5
Unit: Ounce
",https://m.media-amazon.com/images/I/61Tx4dfvzDL.jpg,22.88
5490,266977,"Item Name: TRES AGAVES Organic Mixer Agave Nectar, 750 ML
Bullet Point 1: Ridiculously delicious, low calorie sweetener that's ready to use in margarita mixers
Bullet Point 2: USDA Certified Organic, low-calorie sweetener that dissolves easily in cold and hot beverages and foods
Bullet Point 3: Gold winner of Beverage Tasting Institute
Bullet Point 4: Cocktail-ready agave nectar is perfect as a margarita mixer or as a sweetener for food or drink
Bullet Point 5: Sourced from Mexico's Tequila Valley from the same blue agave plants as Tres Agaves Tequila
Product Description: Tres Agaves Organic Agave Nectar is a cocktail-ready sweetener sourced from the same blue agave plants as Tres Agaves Tequila, making it an essential margarita ingredient. This ridiculously delicious, low calorie sweetener is a Beverage Tasting Institute Gold winner. Unlike other honey-like agave syrup sweeteners, this USDA Certified organic sweetener is balanced with just enough purified water so that it dissolves easily in cold beverages, like iced tea, margaritas or other cocktails. Agave nectar is also a great way to sweeten hot items like coffee, tea or even oatmeal. If you're out of margarita mix, simply combine this agave sweetener with tequila and lime juice for a fresh margarita in minutes. Sourced from Mexico's Tequila Valley, blue agave takes six to eight years to mature. After harvest, the agave is slow roasted to convert the starches to caramelizing sugars. Tres Agaves Organic Agave sweetener does not contain alcohol. In Tequila Valley, we trust.
Value: 25.36
Unit: Fl Oz
",https://m.media-amazon.com/images/I/51glYn+Z0pL.jpg,27.98
34741,172290,"Item Name: Ghirardelli Dark Chocolate Candy Squares with Raspberry Filling 6.38 Oz. (Pack of 2)
Value: 12.76
Unit: Ounce
",https://m.media-amazon.com/images/I/81AmUWOwfgL.jpg,6.99
50011,116374,"Item Name: Tootsie: Junior Mints, 4 oz
Value: 4.0
Unit: Ounce
",https://m.media-amazon.com/images/I/71IWMq5i+9L.jpg,5.99
2693,30856,"Item Name: Kedem Grape Juice Concord,32-ounces (Pack of4)
Bullet Point 1: No Suger Added, No Artifical Colors Or Flavors
Bullet Point 2: Meats AMERICAN HEART ASSOCIATION Food Ciriteria For Saturated Fat And Cholesterol For Healthy Peaple
Bullet Point 3: Serve Chilled - Its Much Better
Bullet Point 4: Kosher Parve For Passover And Whole Year, OU-P And Rabbi Y. M. Grenwald
Bullet Point 5: Pack of 4, Packaging may vary.
Product Description: Kedem 100% Grape Juice Made From Concord Grapes, Pack of 4, Packaging may vary. 100% Pure juice. No sugar added. No artificial colors or flavors. Product of USA. Ingredients Grape Juice, Potassium Metabisulfite, Added to Enhance Freshness. Directions Serve chilled. Refrigerate after opening.
Value: 128.0
Unit: oz
",https://m.media-amazon.com/images/I/61E6mNCRDLL.jpg,7.16
33600,163404,"Item Name: Pillsbury, Creamy Supreme, Chocolate Fudge Frosting, 16oz Container (Pack of 3)
Bullet Point 1: Pillsbury
Bullet Point 2: Creamy Supreme
Bullet Point 3: Chocolate Fudge Frosting
Bullet Point 4: 16oz Tub
Bullet Point 5: Pack of 3
Product Description: Pillsbury, Creamy Supreme, Chocolate Fudge Frosting, 16oz Container (Pack of 3)
Value: 3.0
Unit: Count
",https://m.media-amazon.com/images/I/417QoINI5CL.jpg,2.08
